# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000    1.011850981    1.011759830    1.008115061
    0.015015015    1.011851076    1.011759925    1.008115080
    0.030030030    1.011851360    1.011760208    1.008115136
    0.045045045    1.011851834    1.011760681    1.008115229
    0.060060060    1.011852497    1.011761344    1.008115359
    0.075075075    1.011853350    1.011762195    1.008115526
    0.090090090    1.011854393    1.011763236    1.008115730
    0.105105105    1.011855626    1.011764466    1.008115972
    0.120120120    1.011857049    1.011765887    1.008116251
    0.135135135    1.011858661    1.011767496    1.008116567
    0.150150150    1.011860465    1.011769296    1.008116921
    0.165165165    1.011862458    1.011771286    1.008117311
    0.180180180    1.011864642    1.011773466    1.008117739
    0.195195195    1.011867017    1.011775837    1.008118204
    0.210210210    1.011869584    1.011778398    1.008118707
    0.225225225    1.011872341    1.011781151    1.008119246
    0.240240240    1.011875291    1.011784095    1.008119823
    0.255255255    1.011878432    1.011787231    1.008120438
    0.270270270    1.011881766    1.011790558    1.008121089
    0.285285285    1.011885292    1.011794078    1.008121778
    0.300300300    1.011889011    1.011797790    1.008122505
    0.315315315    1.011892924    1.011801696    1.008123269
    0.330330330    1.011897030    1.011805794    1.008124070
    0.345345345    1.011901331    1.011810087    1.008124909
    0.360360360    1.011905826    1.011814574    1.008125785
    0.375375375    1.011910516    1.011819256    1.008126699
    0.390390390    1.011915402    1.011824133    1.008127650
    0.405405405    1.011920484    1.011829206    1.008128639
    0.420420420    1.011925763    1.011834475    1.008129665
    0.435435435    1.011931239    1.011839940    1.008130730
    0.450450450    1.011936912    1.011845604    1.008131831
    0.465465465    1.011942784    1.011851465    1.008132971
    0.480480480    1.011948855    1.011857524    1.008134148
    0.495495495    1.011955125    1.011863783    1.008135363
    0.510510511    1.011961596    1.011870242    1.008136616
    0.525525526    1.011968267    1.011876901    1.008137907
    0.540540541    1.011975140    1.011883761    1.008139235
    0.555555556    1.011982215    1.011890824    1.008140602
    0.570570571    1.011989493    1.011898089    1.008142007
    0.585585586    1.011996975    1.011905557    1.008143449
    0.600600601    1.012004662    1.011913230    1.008144930
    0.615615616    1.012012554    1.011921108    1.008146449
    0.630630631    1.012020652    1.011929191    1.008148006
    0.645645646    1.012028957    1.011937481    1.008149601
    0.660660661    1.012037471    1.011945979    1.008151234
    0.675675676    1.012046193    1.011954686    1.008152906
    0.690690691    1.012055125    1.011963601    1.008154617
    0.705705706    1.012064267    1.011972728    1.008156365
    0.720720721    1.012073622    1.011982065    1.008158152
    0.735735736    1.012083189    1.011991615    1.008159978
    0.750750751    1.012092970    1.012001378    1.008161842
    0.765765766    1.012102965    1.012011356    1.008163745
    0.780780781    1.012113177    1.012021549    1.008165687
    0.795795796    1.012123605    1.012031959    1.008167668
    0.810810811    1.012134252    1.012042587    1.008169687
    0.825825826    1.012145118    1.012053434    1.008171745
    0.840840841    1.012156204    1.012064500    1.008173843
    0.855855856    1.012167512    1.012075789    1.008175979
    0.870870871    1.012179044    1.012087299    1.008178154
    0.885885886    1.012190799    1.012099034    1.008180369
    0.900900901    1.012202780    1.012110993    1.008182623
    0.915915916    1.012214987    1.012123179    1.008184916
    0.930930931    1.012227423    1.012135593    1.008187249
    0.945945946    1.012240088    1.012148236    1.008189621
    0.960960961    1.012252985    1.012161110    1.008192033
    0.975975976    1.012266114    1.012174216    1.008194485
    0.990990991    1.012279477    1.012187555    1.008196976
    1.006006006    1.012293075    1.012201130    1.008199507
    1.021021021    1.012306910    1.012214941    1.008202078
    1.036036036    1.012320984    1.012228990    1.008204689
    1.051051051    1.012335298    1.012243279    1.008207339
    1.066066066    1.012349854    1.012257810    1.008210031
    1.081081081    1.012364653    1.012272584    1.008212762
    1.096096096    1.012379697    1.012287602    1.008215534
    1.111111111    1.012394989    1.012302867    1.008218346
    1.126126126    1.012410529    1.012318381    1.008221198
    1.141141141    1.012426320    1.012334144    1.008224092
    1.156156156    1.012442363    1.012350160    1.008227026
    1.171171171    1.012458660    1.012366429    1.008230001
    1.186186186    1.012475214    1.012382955    1.008233016
    1.201201201    1.012492026    1.012399738    1.008236073
    1.216216216    1.012509098    1.012416781    1.008239171
    1.231231231    1.012526432    1.012434086    1.008242310
