# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000    1.011839295    1.011746390    1.007692506
    0.015015015    1.011838767    1.011745863    1.007692403
    0.030030030    1.011837854    1.011744952    1.007692225
    0.045045045    1.011836749    1.011743849    1.007692010
    0.060060060    1.011835455    1.011742557    1.007691758
    0.075075075    1.011833972    1.011741077    1.007691470
    0.090090090    1.011832300    1.011739408    1.007691145
    0.105105105    1.011830439    1.011737551    1.007690784
    0.120120120    1.011828390    1.011735505    1.007690387
    0.135135135    1.011826152    1.011733272    1.007689953
    0.150150150    1.011823726    1.011730851    1.007689482
    0.165165165    1.011821113    1.011728242    1.007688975
    0.180180180    1.011818311    1.011725446    1.007688432
    0.195195195    1.011815322    1.011722462    1.007687853
    0.210210210    1.011812147    1.011719293    1.007687237
    0.225225225    1.011808784    1.011715936    1.007686584
    0.240240240    1.011805235    1.011712394    1.007685895
    0.255255255    1.011801500    1.011708666    1.007685170
    0.270270270    1.011797579    1.011704753    1.007684409
    0.285285285    1.011793474    1.011700655    1.007683611
    0.300300300    1.011789183    1.011696372    1.007682778
    0.315315315    1.011784708    1.011691905    1.007681908
    0.330330330    1.011780048    1.011687255    1.007681001
    0.345345345    1.011775206    1.011682421    1.007680059
    0.360360360    1.011770180    1.011677405    1.007679081
    0.375375375    1.011764971    1.011672207    1.007678066
    0.390390390    1.011759581    1.011666827    1.007677015
    0.405405405    1.011754009    1.011661265    1.007675929
    0.420420420    1.011748256    1.011655524    1.007674806
    0.435435435    1.011742323    1.011649602    1.007673647
    0.450450450    1.011736210    1.011643500    1.007672453
    0.465465465    1.011729918    1.011637220    1.007671222
    0.480480480    1.011723448    1.011630762    1.007669956
    0.495495495    1.011716799    1.011624126    1.007668654
    0.510510511    1.011709973    1.011617313    1.007667316
    0.525525526    1.011702970    1.011610324    1.007665943
    0.540540541    1.011695792    1.011603159    1.007664533
    0.555555556    1.011688438    1.011595820    1.007663088
    0.570570571    1.011680910    1.011588306    1.007661608
    0.585585586    1.011673208    1.011580619    1.007660092
    0.600600601    1.011665333    1.011572759    1.007658540
    0.615615616    1.011657286    1.011564727    1.007656953
    0.630630631    1.011649067    1.011556524    1.007655331
    0.645645646    1.011640678    1.011548151    1.007653673
    0.660660661    1.011632118    1.011539608    1.007651980
    0.675675676    1.011623390    1.011530896    1.007650252
    0.690690691    1.011614493    1.011522017    1.007648489
    0.705705706    1.011605429    1.011512970    1.007646690
    0.720720721    1.011596198    1.011503758    1.007644856
    0.735735736    1.011586801    1.011494379    1.007642988
    0.750750751    1.011577240    1.011484837    1.007641084
    0.765765766    1.011567515    1.011475131    1.007639145
    0.780780781    1.011557627    1.011465262    1.007637172
    0.795795796    1.011547577    1.011455231    1.007635164
    0.810810811    1.011537366    1.011445040    1.007633121
    0.825825826    1.011526994    1.011434689    1.007631043
    0.840840841    1.011516464    1.011424179    1.007628931
    0.855855856    1.011505775    1.011413512    1.007626785
    0.870870871    1.011494929    1.011402687    1.007624604
    0.885885886    1.011483927    1.011391706    1.007622388
    0.900900901    1.011472769    1.011380571    1.007620138
    0.915915916    1.011461457    1.011369282    1.007617854
    0.930930931    1.011449993    1.011357840    1.007615536
    0.945945946    1.011438376    1.011346246    1.007613183
    0.960960961    1.011426608    1.011334501    1.007610797
